Feature,Ridge_L2,Lasso_L1,Elastic_Net,Selected_by_Lasso
StudentID,0.0006567091384737793,0.0,0.0,False
Gender,-0.00118965432653508,-0.0,-0.0,False
City,-0.00012691609891080912,-0.0,-0.0,False
CollegeTier,-0.008059304245742962,-0.005630305728916169,-0.007337460501039794,True
Stream,-0.005058504218184314,-0.0,-0.000520333841800636,False
Specialisation,-0.0007530706513724709,-0.0,-0.0,False
Hostel,-0.0009681081469192324,-0.0,-0.0,False
HistoryOfBacklogs,-0.03577832324573975,-0.034672757148138104,-0.03609377784749232,True
SGPA_Sem1,-0.021515990535435615,-0.0,-0.0,False
SGPA_Sem2,-0.02090794251970422,-0.0,-0.0,False
SGPA_Sem3,-0.012764660875877186,-0.0,-0.0,False
SGPA_Sem4,0.001008183008300049,-0.0,-0.0,False
SGPA_Sem5,0.00854586725266189,-0.0,-0.0,False
SGPA_Sem6,0.010918511897634393,-0.0,-0.0,False
SGPA_Sem7,0.018157995169495345,-0.0,-0.0,False
SGPA_Sem8,0.0248228285841074,-0.0,0.0,False
CGPA,-0.09881056915825129,-0.005560816031181823,-0.04060906406786446,True
AttendancePercent,0.011436228385057654,0.005450153799053435,0.009747855805442586,True
Internships,0.024619896513916675,0.016773818490744854,0.019779309050083724,True
Projects,0.025249473499765626,0.016189365795836186,0.019347811987066452,True
Workshops,8.206021413721876e-05,0.0008668311059464353,0.001385942110164868,True
Certifications,0.0055608905633824125,0.00919791224640592,0.008484586617737853,True
Publications,-0.013275146614370834,0.0,-0.0,False
AptitudeTestScore,0.031176583764584473,0.016196543587260543,0.023449966924818818,True
SoftSkillsRating,0.015531347982076052,0.02454826769965558,0.02194752722276055,True
CodingTestScore,0.014337861137616096,0.0,0.002670670967710457,False
MockInterviewScore,-0.006253370462293329,0.004741771404665022,0.0017241612501182637,True
ExtraCurricular,-0.03262764862208729,-0.00955191042935976,-0.019695631890136404,True
CGPA_Tier,0.22930264837115102,0.19158405204405246,0.20449085634591124,True
Salary Package,0.5222885494716873,0.42132108139584334,0.45540570725553675,True
IsAnomaly,-0.005574866873274068,-0.0,-0.0,False
